datetime,total_demand_kwh,hour,day,month,weekday,is_weekend,season,lag_1,lag_48,lag_96,rolling_mean_48,rolling_std_48
2013-01-03 00:00:00,209.864,0,3,1,3,0,0,243.522,198.338,220.013,240.7368541666667,91.92073349104363
2013-01-03 00:30:00,175.02,0,3,1,3,0,0,209.864,165.862,204.27,240.92764583333334,91.77139873423447
2013-01-03 01:00:00,151.394,1,3,1,3,0,0,175.02,147.971,189.439,240.99895833333335,91.69892967123057
2013-01-03 01:30:00,137.672,1,3,1,3,0,0,151.394,129.889,173.019,241.16110416666666,91.50495621159976
2013-01-03 02:00:00,128.217,2,3,1,3,0,0,137.672,117.542,154.537,241.3835,91.21061589086814
2013-01-03 02:30:00,121.28,2,3,1,3,0,0,128.217,113.493,147.255,241.54572916666666,90.98495323923821
2013-01-03 03:00:00,116.156,3,3,1,3,0,0,121.28,109.344,138.952,241.68764583333333,90.77944055587616
2013-01-03 03:30:00,111.425,3,3,1,3,0,0,116.156,108.841,129.993,241.74147916666666,90.69971584838774
2013-01-03 04:00:00,108.828,4,3,1,3,0,0,111.425,107.518,120.971,241.76877083333332,90.65865629962065
2013-01-03 04:30:00,108.442,4,3,1,3,0,0,108.828,109.594,119.493,241.74477083333338,90.69453669352276
2013-01-03 05:00:00,112.105,5,3,1,3,0,0,108.442,117.266,113.919,241.63725,90.84817861650376
2013-01-03 05:30:00,114.017,5,3,1,3,0,0,112.105,116.843,114.222,241.57837500000002,90.93165076609944
2013-01-03 06:00:00,118.367,6,3,1,3,0,0,114.017,122.726,114.154,241.4875625,91.05496589374411
2013-01-03 06:30:00,141.766,6,3,1,3,0,0,118.367,139.598,120.841,241.53272916666666,91.00387289087126
2013-01-03 07:00:00,162.64,7,3,1,3,0,0,141.766,156.365,132.388,241.66345833333332,90.88335167065442
2013-01-03 07:30:00,190.39,7,3,1,3,0,0,162.64,183.375,140.03,241.80960416666667,90.7932216578429
2013-01-03 08:00:00,207.592,8,3,1,3,0,0,190.39,196.699,157.244,242.03654166666664,90.69162543733744
2013-01-03 08:30:00,219.186,8,3,1,3,0,0,207.592,217.96,169.226,242.06208333333336,90.68487283030298
2013-01-03 09:00:00,220.044,9,3,1,3,0,0,219.186,230.34,186.424,241.84758333333335,90.72535710144322
2013-01-03 09:30:00,221.745,9,3,1,3,0,0,220.044,230.608,200.115,241.6629375,90.7577320899018
2013-01-03 10:00:00,232.477,10,3,1,3,0,0,221.745,236.885,215.592,241.5711041666667,90.76489935278302
2013-01-03 10:30:00,227.135,10,3,1,3,0,0,232.477,243.072,227.6,241.23908333333335,90.78843818292631
2013-01-03 11:00:00,228.455,11,3,1,3,0,0,227.135,245.616,241.822,240.8815625,90.80462353888464
2013-01-03 11:30:00,227.162,11,3,1,3,0,0,228.455,237.611,245.97,240.663875,90.82515339964556
2013-01-03 12:00:00,222.314,12,3,1,3,0,0,227.162,240.645,246.675,240.28197916666667,90.86376475742777
2013-01-03 12:30:00,227.545,12,3,1,3,0,0,222.314,244.933,249.556,239.91972916666666,90.87948717564412
2013-01-03 13:00:00,211.246,13,3,1,3,0,0,227.545,257.29,254.571,238.9604791666667,90.93522415457119
2013-01-03 13:30:00,213.364,13,3,1,3,0,0,211.246,266.21,258.99,237.85952083333333,90.91819642579094
2013-01-03 14:00:00,213.996,14,3,1,3,0,0,213.364,249.971,250.196,237.11004166666666,90.96449902886671
2013-01-03 14:30:00,222.377,14,3,1,3,0,0,213.996,274.187,259.192,236.03066666666666,90.82246221210643
2013-01-03 15:00:00,227.957,15,3,1,3,0,0,222.377,272.959,257.18,235.093125,90.66528508601691
2013-01-03 15:30:00,235.391,15,3,1,3,0,0,227.957,273.321,278.687,234.30291666666665,90.49013816347043
2013-01-03 16:00:00,253.529,16,3,1,3,0,0,235.391,285.515,292.807,233.63654166666666,90.22236242796644
2013-01-03 16:30:00,287.876,16,3,1,3,0,0,253.529,315.426,321.801,233.06258333333335,89.77751470039779
2013-01-03 17:00:00,319.13,17,3,1,3,0,0,287.876,339.89,340.929,232.63008333333332,89.30066657820677
2013-01-03 17:30:00,339.772,17,3,1,3,0,0,319.13,359.349,365.262,232.22222916666666,88.75262625020211
2013-01-03 18:00:00,374.315,18,3,1,3,0,0,339.772,372.853,380.276,232.2526875,88.80215214522488
2013-01-03 18:30:00,388.485,18,3,1,3,0,0,374.315,393.598,393.608,232.14616666666666,88.60734871385831
2013-01-03 19:00:00,391.905,19,3,1,3,0,0,388.485,394.452,382.633,232.09310416666668,88.50879169102885
2013-01-03 19:30:00,390.105,19,3,1,3,0,0,391.905,393.479,389.962,232.0228125,88.37914050576958
2013-01-03 20:00:00,368.694,20,3,1,3,0,0,390.105,393.01,371.533,231.51622916666665,87.50207623925506
2013-01-03 20:30:00,354.367,20,3,1,3,0,0,368.694,369.326,350.368,231.20458333333332,87.0261570262577
