datetime,total_demand_kwh,hp_load_kwh,simulated_demand_kwh,simulated_stress_event
2013-01-27 19:00:00,391.101,40.0,431.101,1
2014-02-02 18:30:00,391.067,40.0,431.067,1
2013-02-28 19:30:00,390.956,40.0,430.956,1
2013-01-26 18:00:00,390.686,40.0,430.686,1
2013-01-29 19:30:00,390.421,40.0,430.421,1
2013-02-02 18:30:00,390.308,40.0,430.308,1
2013-01-09 19:00:00,390.27,40.0,430.27,1
2013-01-03 19:30:00,390.105,40.0,430.105,1
2014-01-31 19:00:00,389.996,40.0,429.996,1
2013-02-05 21:30:00,389.713,40.0,429.713,1
2014-01-27 18:30:00,389.695,40.0,429.695,1
2013-02-28 19:00:00,389.594,40.0,429.594,1
2014-01-28 19:30:00,389.548,40.0,429.548,1
2013-02-14 19:00:00,389.529,40.0,429.529,1
2013-01-10 20:00:00,388.889,40.0,428.889,1
2013-01-17 21:30:00,388.856,40.0,428.856,1
2013-02-13 18:00:00,388.827,40.0,428.827,1
2014-02-10 19:00:00,388.736,40.0,428.736,1
2014-02-10 19:30:00,388.625,40.0,428.625,1
2013-01-03 18:30:00,388.485,40.0,428.485,1
2014-02-02 19:00:00,388.322,40.0,428.322,1
2014-02-03 19:00:00,388.236,40.0,428.236,1
2013-02-10 20:30:00,387.702,40.0,427.702,1
2014-02-02 19:30:00,387.543,40.0,427.543,1
2013-01-09 19:30:00,387.475,40.0,427.475,1
2013-02-22 20:00:00,387.377,40.0,427.377,1
2014-02-12 18:30:00,387.329,40.0,427.329,1
2013-02-25 18:00:00,387.28,40.0,427.28,1
2013-02-01 19:30:00,387.266,40.0,427.266,1
2013-12-31 19:00:00,387.229,40.0,427.229,1
2014-02-14 19:30:00,387.125,40.0,427.125,1
2013-01-20 20:30:00,387.121,40.0,427.121,1
2013-12-23 19:00:00,387.11,40.0,427.11,1
2014-01-31 19:30:00,386.952,40.0,426.952,1
2013-02-02 18:00:00,386.915,40.0,426.915,1
2013-02-15 18:30:00,386.869,40.0,426.869,1
2013-01-13 17:30:00,426.645,0.0,426.645,1
2014-02-11 19:00:00,386.615,40.0,426.615,1
2013-01-22 21:30:00,386.386,40.0,426.386,1
2013-12-17 19:00:00,386.374,40.0,426.374,1
2013-12-19 18:30:00,386.363,40.0,426.363,1
2013-02-08 19:00:00,386.245,40.0,426.245,1
2014-01-12 18:00:00,386.152,40.0,426.152,1
2013-02-24 21:00:00,385.954,40.0,425.954,1
2013-01-20 13:00:00,425.94,0.0,425.94,1
2013-02-11 19:30:00,385.879,40.0,425.879,1
2013-02-12 18:00:00,385.833,40.0,425.833,1
2014-01-05 20:00:00,385.765,40.0,425.765,1
2014-02-12 19:30:00,385.749,40.0,425.749,1
2013-01-08 18:30:00,385.009,40.0,425.009,1
2013-03-26 19:30:00,424.886,0.0,424.886,1
2013-01-20 16:00:00,424.558,0.0,424.558,1
2013-12-11 19:30:00,384.545,40.0,424.545,1
2014-01-18 18:30:00,384.305,40.0,424.305,1
2013-02-18 19:30:00,384.277,40.0,424.277,1
