Feature,Coefficient
hour,4.5485395628339487e-14
day,-3.760559851865048e-14
month,-2.9877960820846567e-14
weekday,-1.5965393919977195e-15
is_weekend,4.0454921049892595e-15
season,-1.0290917743617424e-14
lag_1,75.03786397423424
lag_48,-9.801432918376048e-14
lag_96,1.2816030985408444e-16
rolling_mean_48,-7.679323466788497e-15
rolling_std_48,9.263227293001768e-15
ramp_rate,15.01356416906307
