hour,total_observations,stress_events,mean_demand_kwh,stress_percentage
0,843,0,151.12081020166073,0.0
1,842,0,122.1256591448931,0.0
2,842,0,109.61804275534443,0.0
3,842,0,104.10729216152019,0.0
4,842,0,104.21364489311163,0.0
5,842,0,115.18513895486936,0.0
6,842,0,144.89359026128267,0.0
7,842,0,185.92976247030876,0.0
8,842,0,210.7864406175772,0.0
9,842,1,213.11633372921617,0.11876484560570072
10,842,4,210.08059619952493,0.4750593824228029
11,842,4,209.83178741092635,0.4750593824228029
12,842,4,212.57374109263657,0.4750593824228029
13,842,9,211.56886935866984,1.0688836104513064
14,842,6,207.14845843230404,0.7125890736342043
15,842,6,212.35312589073632,0.7125890736342043
16,842,11,236.61650475059383,1.3064133016627077
17,842,70,274.7445771971497,8.31353919239905
18,842,255,306.2274144893112,30.28503562945368
19,842,345,314.9032565320665,40.973871733966746
20,842,203,303.1288752969121,24.109263657957243
21,842,74,285.74763064133015,8.788598574821853
22,842,19,251.76248812351545,2.2565320665083135
23,842,0,199.2359109263658,0.0
