Scenario,Additional_EV_Load_kWh,Stress_Events,Stress_Percentage,Increase_From_Baseline,Relative_Increase_Percent,Percentage_Point_Increase
Baseline,0,1011,5.002721559701123,0,0.0,0.0
Low EV,20,1388,6.868227027561977,377,37.28981206726014,1.8655054678608538
Medium EV,40,1702,8.421990202385075,691,68.34817012858556,3.419268642683952
High EV,60,1965,9.723390568558562,954,94.3620178041543,4.720669008857439
Extreme EV,80,2186,10.816962739373546,1175,116.2215628090999,5.814241179672423
