weekday_name,total_observations,stress_events,mean_demand_kwh,stress_percentage
Monday,2880,158,202.301075,5.486111111111111
Tuesday,2880,143,201.7993642361111,4.965277777777778
Wednesday,2880,126,201.0921284722222,4.375
Thursday,2928,137,200.88244979508195,4.67896174863388
Friday,2881,122,201.94724783061434,4.234640749739674
Saturday,2880,125,204.98115937499998,4.340277777777778
Sunday,2880,200,215.32908055555555,6.944444444444445
